Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
3	Antas 	S3	15/09/2015	51	down	20/05/2016	1	50	50	20	20	0	0	0	0
3	Monti	S3	15/09/2015	52	down	20/05/2016	1	50	50	6	5	0	1	0	0
3	Narrikup	S3	15/09/2015	53	down	20/05/2016	1	50	50	11	11	0	0	0	0
3	Denmark	S3	15/09/2015	54	down	20/05/2016	1	50	50	1	1	0	0	0	0
1	Antas 	S1	24/06/2015	1	up	3/06/2016	4	50	34	2	1	0	0	1	0
1	Monti	S1	24/06/2015	2	up	3/06/2016	4	50	36	2	2	0	0	0	0
1	Denmark	S1	24/06/2015	3	up	3/06/2016	4	50	36	4	4	0	0	0	0
1	Leura	S1	24/06/2015	4	up	3/06/2016	4	50	38	1	1	0	0	0	0
1	Narrikup	S1	24/06/2015	5	up	3/06/2016	4	50	44	4	4	0	0	0	0
1	Woogenellup	S1	24/06/2015	6	up	3/06/2016	4	50	30	0	0	0	0	0	0
2	Antas 	S1	24/06/2015	7	up	3/06/2016	4	50	40	1	1	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	up	3/06/2016	4	50	38	3	3	0	0	0	0
2	Denmark	S1	24/06/2015	9	up	3/06/2016	4	50	37	0	0	0	0	0	0
2	Monti	S1	24/06/2015	10	up	3/06/2016	4	50	39	2	2	0	0	0	0
2	Narrikup	S1	24/06/2015	11	up	3/06/2016	4	50	35	3	3	0	0	0	0
2	Leura	S1	24/06/2015	12	up	3/06/2016	4	50	34	1	1	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	up	3/06/2016	4	50	38	0	0	0	0	0	0
3	Antas 	S1	24/06/2015	14	up	3/06/2016	4	50	44	3	2	0	1	0	0
3	Monti	S1	24/06/2015	15	up	3/06/2016	4	50	38	3	3	0	0	0	0
3	Narrikup	S1	24/06/2015	16	up	3/06/2016	4	50	42	1	1	0	0	0	0
3	Denmark	S1	24/06/2015	17	up	3/06/2016	4	50	37	0	0	0	0	0	0
3	Leura	S1	24/06/2015	18	up	3/06/2016	4	50	22	0	0	0	0	0	0
1	Antas 	S1	24/06/2015	1	down	3/06/2016	4	24	14	0	0	0	0	0	0
1	Monti	S1	24/06/2015	2	down	3/06/2016	4	50	39	2	2	0	0	0	0
1	Denmark	S1	24/06/2015	3	down	3/06/2016	4	50	31	6	6	0	0	0	0
1	Leura	S1	24/06/2015	4	down	3/06/2016	4	50	25	2	1	0	0	1	0
1	Narrikup	S1	24/06/2015	5	down	3/06/2016	4	50	41	5	4	0	0	1	0
1	Woogenellup	S1	24/06/2015	6	down	3/06/2016	4	50	32	1	1	0	0	0	0
2	Antas 	S1	24/06/2015	7	down	3/06/2016	4	50	36	0	0	0	0	0	0
2	Woogenellup	S1	24/06/2015	8	down	3/06/2016	4	50	36	1	1	0	0	0	0
2	Denmark	S1	24/06/2015	9	down	3/06/2016	4	50	41	3	3	0	0	0	0
2	Monti	S1	24/06/2015	10	down	3/06/2016	4	50	40	5	5	0	0	0	0
2	Narrikup	S1	24/06/2015	11	down	3/06/2016	4	50	40	6	6	0	0	0	0
2	Leura	S1	24/06/2015	12	down	3/06/2016	4	50	29	1	1	0	0	0	0
3	Woogenellup	S1	24/06/2015	13	down	3/06/2016	4	50	32	0	0	0	0	0	0
3	Antas 	S1	24/06/2015	14	down	3/06/2016	4	50	31	2	2	0	0	0	0
3	Monti	S1	24/06/2015	15	down	3/06/2016	4	50	41	3	3	0	0	0	0
3	Narrikup	S1	24/06/2015	16	down	3/06/2016	4	50	45	4	4	0	0	0	0
3	Denmark	S1	24/06/2015	17	down	3/06/2016	4	50	33	2	2	0	0	0	0
