Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft
1	Antas 	S2	28/07/2015	24	Above	20/06/2016	56	50	33	1
2	Leura	S2	28/07/2015	25	Above	20/06/2016	56	50	25	0
2	Woogenellup	S2	28/07/2015	26	Above	20/06/2016	56	50	24	1
2	Denmark	S2	28/07/2015	27	Above	20/06/2016	56	50	38	2
2	Narrikup	S2	28/07/2015	28	Above	20/06/2016	56	50	29	6
2	Antas 	S2	28/07/2015	29	Above	20/06/2016	56	50	10	1
2	Monti	S2	28/07/2015	30	Above	20/06/2016	56	50	41	6
3	Denmark	S2	28/07/2015	31	Above	20/06/2016	56	50	42	2
3	Antas 	S2	28/07/2015	32	Above	20/06/2016	56	50	34	2
3	Monti	S2	28/07/2015	33	Above	20/06/2016	56	50	40	1
3	Woogenellup	S2	28/07/2015	34	Above	20/06/2016	56	50	20	0
3	Leura	S2	28/07/2015	35	Above	20/06/2016	56	50	36	0
3	Narrikup	S2	28/07/2015	36	Above	20/06/2016	56	50	13	2
1	Narrikup	S2	28/07/2015	19	Below	20/06/2016	56	50	31	1
1	Monti	S2	28/07/2015	20	Below	20/06/2016	56	50	39	3
1	Woogenellup	S2	28/07/2015	21	Below	20/06/2016	56	50	39	1
1	Leura	S2	28/07/2015	22	Below	20/06/2016	56	50	43	1
1	Denmark	S2	28/07/2015	23	Below	20/06/2016	56	50	31	1
1	Antas 	S2	28/07/2015	24	Below	20/06/2016	56	50	28	1
2	Leura	S2	28/07/2015	25	Below	20/06/2016	56	50	22	1
2	Woogenellup	S2	28/07/2015	26	Below	20/06/2016	56	50	36	0
2	Denmark	S2	28/07/2015	27	Below	20/06/2016	56	50	32	1
2	Narrikup	S2	28/07/2015	28	Below	20/06/2016	56	50	28	1
2	Antas 	S2	28/07/2015	29	Below	20/06/2016	56	50	8	0
2	Monti	S2	28/07/2015	30	Below	20/06/2016	56	50	40	6
3	Denmark	S2	28/07/2015	31	Below	20/06/2016	56	50	43	1
3	Antas 	S2	28/07/2015	32	Below	20/06/2016	56	50	28	2
