"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_sqr" "transf_log" "transf_acos" "transf_power3" "transf_log10"
"120" "2" "Monti" "S4" "5/11/2015" "66" "up" 2016-07-06 1 50 12 24 76 76 8.71779788708135 4.33073334028633 0.707483211779343 438976 1.88081359228079
"121" "3" "Leura" "S4" "5/11/2015" "67" "up" 2016-07-06 1 50 16 32 68 68 8.24621125123532 4.21950770517611 0.823033692134976 314432 1.83250891270624
"122" "3" "Monti" "S4" "5/11/2015" "68" "up" 2016-07-06 1 50 28 56 44 44 6.6332495807108 3.78418963391826 1.11519765339907 85184 1.64345267648619
"123" "3" "Narrikup" "S4" "5/11/2015" "69" "up" 2016-07-06 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"124" "3" "Antas" "S4" "5/11/2015" "70" "up" 2016-07-06 1 50 26 52 48 48 6.92820323027551 3.87120101090789 1.07014161439031 110592 1.68124123737559
"125" "3" "Woogenellup" "S4" "5/11/2015" "71" "up" 2016-07-06 1 50 7 14 86 86 9.2736184954957 4.45434729625351 0.535526654314388 636056 1.93449845124357
"126" "3" "Denmark" "S4" "5/11/2015" "72" "up" 2016-07-06 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
"127" "1" "Narrikup" "S4" "5/11/2015" "55" "down" 2016-07-06 1 50 20 40 60 60 7.74596669241483 4.0943445622221 0.927295218001612 216000 1.77815125038364
"128" "1" "Antas" "S4" "5/11/2015" "56" "down" 2016-07-06 1 32 20 62.5 37.5 37.5 6.12372435695795 3.62434093297637 1.18639955229926 52734.375 1.57403126772772
"129" "1" "Denmark" "S4" "5/11/2015" "57" "down" 2016-07-06 1 50 5 10 90 90 9.48683298050514 4.49980967033027 0.451026811796262 729000 1.95424250943932
"130" "1" "Leura" "S4" "5/11/2015" "58" "down" 2016-07-06 1 17 4 23.53 76.47 76.47 8.74471268824768 4.33689850705613 0.700220684194136 447170.629023 1.88349109018893
"131" "1" "Monti" "S4" "5/11/2015" "59" "down" 2016-07-06 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"132" "1" "Woogenellup" "S4" "5/11/2015" "60" "down" 2016-07-06 1 50 16 32 68 68 8.24621125123532 4.21950770517611 0.823033692134976 314432 1.83250891270624
"133" "2" "Antas" "S4" "5/11/2015" "61" "down" 2016-07-06 1 50 21 42 58 58 7.61577310586391 4.06044301054642 0.952067636122646 195112 1.76342799356294
"134" "2" "Woogenellup" "S4" "5/11/2015" "62" "down" 2016-07-06 1 50 18 36 64 64 8 4.15888308335967 0.876298061168341 262144 1.80617997398389
"135" "2" "Narrikup" "S4" "5/11/2015" "63" "down" 2016-07-06 1 50 15 30 70 70 8.36660026534076 4.24849524204936 0.795398830184144 343000 1.84509804001426
"136" "2" "Leura" "S4" "5/11/2015" "64" "down" 2016-07-06 1 3 1 33.33 66.67 66.67 8.165169930871 4.19975507662997 0.841023948313902 296340.742963 1.82393045512556
"137" "2" "Denmark" "S4" "5/11/2015" "65" "down" 2016-07-06 1 50 1 2 98 98 9.89949493661167 4.58496747867057 0.20033484232312 941192 1.99122607569249
"138" "2" "Monti" "S4" "5/11/2015" "66" "down" 2016-07-06 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"139" "3" "Leura" "S4" "5/11/2015" "67" "down" 2016-07-06 1 50 15 30 70 70 8.36660026534076 4.24849524204936 0.795398830184144 343000 1.84509804001426
"140" "3" "Monti" "S4" "5/11/2015" "68" "down" 2016-07-06 1 50 15 30 70 70 8.36660026534076 4.24849524204936 0.795398830184144 343000 1.84509804001426
"141" "3" "Narrikup" "S4" "5/11/2015" "69" "down" 2016-07-06 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"142" "3" "Antas" "S4" "5/11/2015" "70" "down" 2016-07-06 1 50 21 42 58 58 7.61577310586391 4.06044301054642 0.952067636122646 195112 1.76342799356294
"143" "3" "Woogenellup" "S4" "5/11/2015" "71" "down" 2016-07-06 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"144" "3" "Denmark" "S4" "5/11/2015" "72" "down" 2016-07-06 1 50 18 36 64 64 8 4.15888308335967 0.876298061168341 262144 1.80617997398389
