date	hour	Air
31/07/2015	18	7.619
31/07/2015	19	8.519
31/07/2015	20	7.142
31/07/2015	21	7.594
31/07/2015	22	7.945
31/07/2015	23	7.92
1/08/2015	0	7.015
1/08/2015	1	6.153
1/08/2015	2	7.242
1/08/2015	3	7.494
1/08/2015	4	8.965
1/08/2015	5	9.238
1/08/2015	6	8.618
1/08/2015	7	12.509
1/08/2015	8	10.81
1/08/2015	9	8.941
1/08/2015	10	9.928
1/08/2015	11	10.712
1/08/2015	12	11.783
1/08/2015	13	11.856
1/08/2015	14	11.734
1/08/2015	15	11.734
1/08/2015	16	10.736
1/08/2015	17	9.064
1/08/2015	18	6.763
1/08/2015	19	6.99
1/08/2015	20	6.914
1/08/2015	21	7.091
1/08/2015	22	6.889
1/08/2015	23	6.331
2/08/2015	0	6.433
2/08/2015	1	6.331
2/08/2015	2	5.924
2/08/2015	3	6.051
2/08/2015	4	7.494
2/08/2015	5	8.07
2/08/2015	6	7.469
2/08/2015	7	7.87
2/08/2015	8	8.543
2/08/2015	9	11.637
2/08/2015	10	12.558
2/08/2015	11	13.449
2/08/2015	12	15.342
2/08/2015	13	16.844
2/08/2015	14	18.2
2/08/2015	15	15.724
2/08/2015	16	14.864
2/08/2015	17	9.485
2/08/2015	18	7.97
2/08/2015	19	8.195
2/08/2015	20	8.494
2/08/2015	21	8.27
2/08/2015	22	7.594
2/08/2015	23	7.393
3/08/2015	0	6.889
3/08/2015	1	6.611
3/08/2015	2	6.026
3/08/2015	3	5.231
3/08/2015	4	9.015
3/08/2015	5	11.443
3/08/2015	6	12.703
3/08/2015	7	12.727
3/08/2015	8	13.137
3/08/2015	9	13.449
3/08/2015	10	15.247
3/08/2015	11	16.129
3/08/2015	12	16.63
3/08/2015	13	19.032
3/08/2015	14	20.246
3/08/2015	15	19.318
3/08/2015	16	18.652
3/08/2015	17	16.582
3/08/2015	18	15.557
3/08/2015	19	15.151
3/08/2015	20	14.745
3/08/2015	21	14.745
3/08/2015	22	13.762
3/08/2015	23	14.601
4/08/2015	0	14.721
4/08/2015	1	13.618
4/08/2015	2	14.074
4/08/2015	3	12.63
4/08/2015	4	13.618
4/08/2015	5	13.305
4/08/2015	6	11.321
4/08/2015	7	10.345
4/08/2015	8	10.492
4/08/2015	9	12.896
4/08/2015	10	14.601
4/08/2015	11	18.366
4/08/2015	12	18.01
4/08/2015	13	15.986
4/08/2015	14	16.249
4/08/2015	15	15.39
4/08/2015	16	13.618
4/08/2015	17	10.932
4/08/2015	18	8.717
4/08/2015	19	8.07
4/08/2015	20	7.77
4/08/2015	21	5.719
4/08/2015	22	4.999
4/08/2015	23	3.564
5/08/2015	0	2.983
5/08/2015	1	1.859
5/08/2015	2	2.316
5/08/2015	3	1.805
5/08/2015	4	0.687
5/08/2015	5	1.453
5/08/2015	6	2.209
5/08/2015	7	3.643
5/08/2015	8	4.298
5/08/2015	9	7.167
5/08/2015	10	8.817
5/08/2015	11	10.001
5/08/2015	12	10.369
5/08/2015	13	11.321
5/08/2015	14	11.346
5/08/2015	15	11.346
5/08/2015	16	10.492
5/08/2015	17	9.46
5/08/2015	18	8.02
5/08/2015	19	7.895
5/08/2015	20	7.77
5/08/2015	21	7.142
5/08/2015	22	5.205
5/08/2015	23	4.61
6/08/2015	0	5.128
6/08/2015	1	3.591
6/08/2015	2	2.823
6/08/2015	3	2.69
6/08/2015	4	3.063
