Temp	Cv	rep	startDate 	DateRead	CountedGerm 	HoursofTest	PercentGerm
30	Narrikup	4	17/07/15	27/07/15	1	253.00	2
30	Antas	1	17/07/15	28/07/15	0	277.00	0
30	Antas	2	17/07/15	28/07/15	0	277.00	0
30	Antas	3	17/07/15	28/07/15	0	277.00	0
30	Antas	4	17/07/15	28/07/15	0	277.00	0
30	Denmark	1	17/07/15	28/07/15	0	277.00	0
30	Denmark	2	17/07/15	28/07/15	0	277.00	0
30	Denmark	3	17/07/15	28/07/15	0	277.00	0
30	Denmark	4	17/07/15	28/07/15	0	277.00	0
30	Monti	1	17/07/15	28/07/15	0	277.00	0
30	Monti	2	17/07/15	28/07/15	0	277.00	0
30	Monti	3	17/07/15	28/07/15	0	277.00	0
30	Monti	4	17/07/15	28/07/15	0	277.00	0
30	Narrikup	1	17/07/15	28/07/15	0	277.00	0
30	Narrikup	2	17/07/15	28/07/15	0	277.00	0
30	Narrikup	3	17/07/15	28/07/15	0	277.00	0
30	Narrikup	4	17/07/15	28/07/15	0	277.00	0
15	Antas	1	19/07/15	20/07/15	0	37.00	0
15	Antas	2	19/07/15	20/07/15	0	37.00	0
15	Antas	3	19/07/15	20/07/15	0	37.00	0
15	Antas	4	19/07/15	20/07/15	0	37.00	0
15	Denmark	1	19/07/15	20/07/15	0	37.00	0
15	Denmark	2	19/07/15	20/07/15	0	37.00	0
15	Denmark	3	19/07/15	20/07/15	0	37.00	0
15	Denmark	4	19/07/15	20/07/15	0	37.00	0
15	Monti	1	19/07/15	20/07/15	0	37.00	0
15	Monti	2	19/07/15	20/07/15	0	37.00	0
15	Monti	3	19/07/15	20/07/15	0	37.00	0
15	Monti	4	19/07/15	20/07/15	0	37.00	0
15	Narrikup	1	19/07/15	20/07/15	0	37.00	0
15	Narrikup	2	19/07/15	20/07/15	0	37.00	0
