Cultivar 	Wavelength	Absorbance
Antas 	2470.38418	0.01065
Antas 	2468.4557	0.01065
Antas 	2466.52722	0.01065
Antas 	2464.59874	0.01064
Antas 	2462.67025	0.01062
Antas 	2460.74177	0.01057
Antas 	2458.81329	0.01051
Antas 	2456.88481	0.01046
Antas 	2454.95633	0.01046
Antas 	2453.02785	0.01046
Antas 	2451.09937	0.01043
Antas 	2449.17089	0.01041
Antas 	2447.24241	0.01038
Antas 	2445.31393	0.01037
Antas 	2443.38544	0.01035
Antas 	2441.45696	0.01034
Antas 	2439.52848	0.01033
Antas 	2437.6	0.01031
Antas 	2435.67152	0.01029
Antas 	2433.74304	0.01028
Antas 	2431.81456	0.01024
Antas 	2429.88608	0.01021
Antas 	2427.9576	0.0102
Antas 	2426.02911	0.01019
Antas 	2424.10063	0.01017
Antas 	2422.17215	0.01014
Antas 	2420.24367	0.01012
Antas 	2418.31519	0.01009
Antas 	2416.38671	0.01007
Antas 	2414.45823	0.01005
Antas 	2412.52975	0.01004
Antas 	2410.60127	0.01002
Antas 	2408.67279	0.01001
Antas 	2406.7443	0.01
Antas 	2404.81582	0.00999
Antas 	2402.88734	0.00997
Antas 	2400.95886	0.00996
Antas 	2399.03038	0.00993
Antas 	2397.1019	0.0099
Antas 	2395.17342	0.00989
Antas 	2393.24494	0.00989
Antas 	2391.31646	0.00989
Antas 	2389.38798	0.00988
Antas 	2387.45949	0.00988
Antas 	2385.53101	0.00993
Antas 	2383.60253	0.00999
Antas 	2381.67405	0.01006
Antas 	2379.74557	0.01012
Antas 	2377.81709	0.01017
Antas 	2375.88861	0.01023
Antas 	2373.96013	0.01027
Antas 	2372.03165	0.0103
Antas 	2370.10317	0.0103
Antas 	2368.17468	0.01007
Antas 	2366.2462	0.0095
Antas 	2364.31772	0.00895
Antas 	2362.38924	0.0089
Antas 	2360.46076	0.00922
Antas 	2358.53228	0.00949
Antas 	2356.6038	0.00975
Antas 	2354.67532	0.00991
Antas 	2352.74684	0.00987
Antas 	2350.81836	0.00986
Antas 	2348.88987	0.00991
Antas 	2346.96139	0.00993
Antas 	2345.03291	0.00986
Antas 	2343.10443	0.00976
Antas 	2341.17595	0.00966
Antas 	2339.24747	0.00955
Antas 	2337.31899	0.00961
Antas 	2335.39051	0.00988
Antas 	2333.46203	0.01004
Antas 	2331.53355	0.00988
Antas 	2329.60506	0.00966
Antas 	2327.67658	0.00963
Antas 	2325.7481	0.00972
