Cultivar	IncubationDays 	Wavelenght	Absorbance
Antas 	0	2647.80443	0.00993
Antas 	0	2645.87595	0.00986
Antas 	0	2643.94747	0.00978
Antas 	0	2642.01899	0.00969
Antas 	0	2640.09051	0.00963
Antas 	0	2638.16203	0.00957
Antas 	0	2636.23355	0.00947
Antas 	0	2634.30506	0.00935
Antas 	0	2632.37658	0.00927
Antas 	0	2630.4481	0.0092
Antas 	0	2628.51962	0.00912
Antas 	0	2626.59114	0.00904
Antas 	0	2624.66266	0.00899
Antas 	0	2622.73418	0.00897
Antas 	0	2620.8057	0.00895
Antas 	0	2618.87722	0.00891
Antas 	0	2616.94874	0.00884
Antas 	0	2615.02025	0.00879
Antas 	0	2613.09177	0.00873
Antas 	0	2611.16329	0.00862
Antas 	0	2609.23481	0.0085
Antas 	0	2607.30633	0.00838
Antas 	0	2605.37785	0.0083
Antas 	0	2603.44937	0.00823
Antas 	0	2601.52089	0.00815
Antas 	0	2599.59241	0.00807
Antas 	0	2597.66393	0.008
Antas 	0	2595.73544	0.00794
Antas 	0	2593.80696	0.00791
Antas 	0	2591.87848	0.00791
Antas 	0	2589.95	0.00789
Antas 	0	2588.02152	0.00785
Antas 	0	2586.09304	0.00778
Antas 	0	2584.16456	0.00769
Antas 	0	2582.23608	0.0076
Antas 	0	2580.3076	0.0075
Antas 	0	2578.37911	0.00741
Antas 	0	2576.45063	0.00735
Antas 	0	2574.52215	0.00731
Antas 	0	2572.59367	0.00728
Antas 	0	2570.66519	0.00727
Antas 	0	2568.73671	0.00723
Antas 	0	2566.80823	0.00712
Antas 	0	2564.87975	0.00701
Antas 	0	2562.95127	0.00694
Antas 	0	2561.02279	0.00689
Antas 	0	2559.0943	0.00682
Antas 	0	2557.16582	0.00674
Antas 	0	2555.23734	0.00667
Antas 	0	2553.30886	0.00665
Antas 	0	2551.38038	0.00668
Antas 	0	2549.4519	0.00669
Antas 	0	2547.52342	0.00663
Antas 	0	2545.59494	0.00653
Antas 	0	2543.66646	0.00645
Antas 	0	2541.73798	0.00642
Antas 	0	2539.80949	0.00641
Antas 	0	2537.88101	0.00637
Antas 	0	2535.95253	0.00629
