wavelength	spc
2397.25023	0.02220
2395.32163	0.02210
2393.39303	0.02204
2391.46443	0.02201
2389.53583	0.02199
2387.60723	0.02195
2385.67863	0.02190
2383.75003	0.02192
2381.82143	0.02199
2379.89283	0.02201
2377.96423	0.02205
2376.03562	0.02218
2374.10702	0.02238
2372.17842	0.02270
2370.24982	0.02328
2368.32122	0.02389
2366.39262	0.02373
2364.46402	0.02307
2362.53542	0.02266
2360.60682	0.02214
2358.67822	0.02218
2356.74962	0.02296
2354.82102	0.02298
2352.89242	0.02244
2350.96382	0.02214
2349.03522	0.02208
2347.10662	0.02220
2345.17802	0.02269
2343.24942	0.02326
2341.32082	0.02320
2339.39222	0.02284
2337.46362	0.02272
2335.53502	0.02273
2333.60642	0.02274
2331.67782	0.02264
2329.74922	0.02256
2327.82062	0.02270
2325.89202	0.02281
2323.96342	0.02274
2322.03482	0.02256
2320.10621	0.02234
2318.17761	0.02214
2316.24901	0.02204
2314.32041	0.02206
2312.39181	0.02202
2310.46321	0.02183
2308.53461	0.02171
2306.60601	0.02161
2304.67741	0.02140
2302.74881	0.02127
2300.82021	0.02127
2298.89161	0.02127
2296.96301	0.02126
2295.03441	0.02125
2293.10581	0.02123
2291.17721	0.02115
2289.24861	0.02102
2287.32001	0.02084
2285.39141	0.02061
2283.46281	0.02043
2281.53421	0.02034
2279.60561	0.02032
2277.67701	0.02036
2275.74841	0.02036
2273.81981	0.02019
2271.89121	0.01996
2269.96261	0.01980
2268.03401	0.01973
2266.10541	0.01968
2264.17680	0.01953
2262.24820	0.01928
2260.31960	0.01917
2258.39100	0.01923
2256.46240	0.01922
2254.53380	0.01912
2252.60520	0.01909
2250.67660	0.01908
2248.74800	0.01908
2246.81940	0.01908
2244.89080	0.01904
2242.96220	0.01898
2241.03360	0.01883
2239.10500	0.01860
2237.17640	0.01842
2235.24780	0.01832
2233.31920	0.01823
2231.39060	0.01826
2229.46200	0.01845
2227.53340	0.01852
2225.60480	0.01841
2223.67620	0.01839
2221.74760	0.01843
2219.81900	0.01836
2217.89040	0.01815
2215.96180	0.01800
2214.03320	0.01804
2212.10460	0.01805
2210.17600	0.01784
2208.24739	0.01767
2206.31879	0.01779
2204.39019	0.01791
2202.46159	0.01782
2200.53299	0.01772
2198.60439	0.01758
2196.67579	0.01732
2194.74719	0.01705
2192.81859	0.01684
2190.88999	0.01669
2188.96139	0.01661
2187.03279	0.01659
2185.10419	0.01665
2183.17559	0.01667
2181.24699	0.01637
2179.31839	0.01598
2177.38979	0.01595
2175.46119	0.01619
2173.53259	0.01651
2171.60399	0.01665
2169.67539	0.01657
2167.74679	0.01648
2165.81819	0.01642
2163.88959	0.01629
2161.96099	0.01599
2160.03239	0.01546
2158.10379	0.01508
2156.17519	0.01508
2154.24659	0.01513
2152.31798	0.01515
2150.38938	0.01526
2148.46078	0.01544
2146.53218	0.01555
2144.60358	0.01575
2142.67498	0.01611
2140.74638	0.01635
2138.81778	0.01631
2136.88918	0.01615
2134.96058	0.01612
2133.03198	0.01635
2131.10338	0.01677
2129.17478	0.01717
2127.24618	0.01731
2125.31758	0.01721
2123.38898	0.01712
2121.46038	0.01719
2119.53178	0.01735
2117.60318	0.01758
2115.67458	0.01788
2113.74598	0.01800
2111.81738	0.01779
2109.88878	0.01754
2107.96018	0.01756
2106.03158	0.01783
2104.10298	0.01803
2102.17438	0.01794
2100.24578	0.01773
2098.31718	0.01756
2096.38857	0.01746
2094.45997	0.01745
2092.53137	0.01747
2090.60277	0.01745
2088.67417	0.01746
2086.74557	0.01753
2084.81697	0.01758
2082.88837	0.01752
2080.95977	0.01731
2079.03117	0.01711
2077.10257	0.01704
2075.17397	0.01698
2073.24537	0.01689
2071.31677	0.01690
2069.38817	0.01691
2067.45957	0.01688
2065.53097	0.01693
2063.60237	0.01688
2061.67377	0.01656
2059.74517	0.01634
2057.81657	0.01655
2055.88797	0.01685
2053.95937	0.01686
