"LocationYear" "AuthorYear" "YearExperiment" "Location" "Country" "Treatcultivar" "SowingDate" "StartFlowering" "PercentFlower" "DaysToFlower"
"195" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Whatawhataws1737" 1993-05-03 1993-10-24 50 174
"196" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Whatawhataws1801" 1993-05-03 1993-10-18 50 168
"197" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "PalmerstonNAK920" 1993-05-03 1993-10-24 50 174
"198" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "PalmerstonAK948" 1993-05-03 1993-10-15 50 165
"199" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Dalkeith" 1993-05-03 1993-09-13 50 133
"200" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "SeatonPark" 1993-05-03 1993-09-24 50 144
"201" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Trikkala" 1993-05-03 1993-09-26 50 146
"202" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Gosse" 1993-05-03 1993-10-08 50 158
"203" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Junee" 1993-05-03 1993-10-10 50 160
"204" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Woogenellup" 1993-05-03 1993-10-10 50 160
"205" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Clare" 1993-05-03 1993-10-10 50 160
"206" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "MtBarker" 1993-05-03 1993-10-12 50 162
"207" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Goulburn" 1993-05-03 1993-10-12 50 162
"208" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Karridale" 1993-05-03 1993-10-14 50 164
"209" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Nangeela" 1993-05-03 1993-10-16 50 166
